"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"252","2","0","127.51","(2,0)","2","2","121.48","(2,2)"
"253","1","0","151.86","(1,0)","2","0","146.41","(2,0)"
"254","2","0","134.49","(2,0)","2","2","128.12","(2,2)"
"255","2","0","156.04","(2,0)","1","2","148.55","(1,2)"
"256","1","1","155.03","(1,1)","1","1","149.35","(1,1)"
"257","0","2","143.31","(0,2)","2","1","137.06","(2,1)"
"258","2","0","128.73","(2,0)","2","0","123.05","(2,0)"
"259","1","0","143.53","(1,0)","1","1","138.77","(1,1)"
"260","2","0","120.69","(2,0)","2","0","115.01","(2,0)"
"261","2","0","152.8","(2,0)","2","0","147.12","(2,0)"
"262","1","2","157.23","(1,2)","2","2","148.65","(2,2)"
"263","1","2","147.39","(1,2)","1","2","139.82","(1,2)"
"264","2","0","147.03","(2,0)","2","0","141.35","(2,0)"
"265","1","1","149.35","(1,1)","1","1","143.67","(1,1)"
"266","2","0","143.61","(2,0)","2","1","137.51","(2,1)"
"267","1","1","151.73","(1,1)","1","1","146.05","(1,1)"
"268","0","0","153.33","(0,0)","1","1","150.87","(1,1)"
"269","1","0","153.58","(1,0)","1","1","148.15","(1,1)"
"270","2","0","130.04","(2,0)","2","0","124.36","(2,0)"
"271","2","0","159.8","(2,0)","2","0","154.12","(2,0)"
"272","1","1","145.09","(1,1)","2","2","139.4","(2,2)"
"273","2","1","138.29","(2,1)","2","1","130.72","(2,1)"
"274","1","1","143.45","(1,1)","1","1","137.77","(1,1)"
"275","1","0","150.32","(1,0)","1","0","146.54","(1,0)"
"276","0","0","152.1","(0,0)","0","2","146.88","(0,2)"
"277","1","2","123.25","(1,2)","1","2","115.68","(1,2)"
"278","1","1","141.9","(1,1)","1","1","136.22","(1,1)"
"279","1","1","163.52","(1,1)","1","1","157.85","(1,1)"
"280","2","0","144.41","(2,0)","2","0","138.73","(2,0)"
"281","1","1","161.63","(1,1)","1","1","155.95","(1,1)"
"282","1","1","139.2","(1,1)","1","1","133.53","(1,1)"
"283","1","0","148.58","(1,0)","1","0","144.79","(1,0)"
"284","1","1","139.37","(1,1)","1","1","133.69","(1,1)"
"285","1","1","141.61","(1,1)","1","2","135.61","(1,2)"
"286","0","0","155.97","(0,0)","2","0","150.51","(2,0)"
"287","1","1","146.65","(1,1)","1","1","140.97","(1,1)"
"288","1","0","126.85","(1,0)","2","0","122.54","(2,0)"
"289","0","0","159.86","(0,0)","1","0","157.24","(1,0)"
"290","2","0","152.37","(2,0)","2","1","145.52","(2,1)"
"291","1","0","152.63","(1,0)","1","1","148.34","(1,1)"
"292","1","1","142.81","(1,1)","1","1","137.13","(1,1)"
"293","1","0","152.64","(1,0)","1","1","147.04","(1,1)"
"294","2","0","150.88","(2,0)","2","0","145.21","(2,0)"
"295","0","0","130.15","(0,0)","1","1","127.54","(1,1)"
"296","2","0","146.97","(2,0)","2","0","141.29","(2,0)"
"297","1","2","138.17","(1,2)","1","2","130.6","(1,2)"
"298","1","1","156.86","(1,1)","1","1","151.18","(1,1)"
"299","1","1","143.67","(1,1)","1","1","138","(1,1)"
"300","0","2","135.69","(0,2)","0","2","130.02","(0,2)"
"301","2","0","143.87","(2,0)","2","0","138.19","(2,0)"
"302","2","0","130.64","(2,0)","2","0","124.97","(2,0)"
"303","2","0","152.66","(2,0)","2","0","146.98","(2,0)"
"304","2","0","156.59","(2,0)","2","0","150.91","(2,0)"
"305","2","0","144.68","(2,0)","2","0","139.01","(2,0)"
"306","1","0","135.13","(1,0)","2","0","130.76","(2,0)"
"307","2","0","161","(2,0)","2","0","155.33","(2,0)"
"308","1","1","157.43","(1,1)","1","1","151.76","(1,1)"
