"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"494","2","0","179.1","(2,0)","1","2","170.75","(1,2)"
"495","1","1","178.79","(1,1)","1","1","171.14","(1,1)"
"496","1","2","148.05","(1,2)","1","2","138.49","(1,2)"
"497","2","0","127.19","(2,0)","2","0","119.54","(2,0)"
"498","1","1","157.77","(1,1)","1","1","150.12","(1,1)"
"499","1","2","165.94","(1,2)","1","2","156.38","(1,2)"
"500","1","2","157.3","(1,2)","1","2","147.74","(1,2)"
"501","2","0","162.15","(2,0)","1","2","153.41","(1,2)"
"502","2","0","150.3","(2,0)","2","0","142.66","(2,0)"
"503","2","1","162.51","(2,1)","2","1","152.95","(2,1)"
"504","1","2","156.17","(1,2)","2","2","146.58","(2,2)"
"505","1","1","153.9","(1,1)","1","2","145.38","(1,2)"
"506","2","0","157.35","(2,0)","2","0","149.7","(2,0)"
"507","1","2","153.51","(1,2)","1","2","143.95","(1,2)"
"508","2","0","156.84","(2,0)","2","0","149.19","(2,0)"
"509","2","1","149.91","(2,1)","2","1","140.35","(2,1)"
"510","2","1","171.18","(2,1)","2","1","161.62","(2,1)"
"511","2","0","164.59","(2,0)","2","0","156.94","(2,0)"
"512","2","0","166.04","(2,0)","2","0","158.39","(2,0)"
"513","1","1","149.27","(1,1)","1","1","141.62","(1,1)"
"514","2","0","139.48","(2,0)","2","1","131.23","(2,1)"
"515","1","1","149.39","(1,1)","1","1","141.75","(1,1)"
"516","1","2","169.27","(1,2)","1","2","159.71","(1,2)"
"517","2","0","178.89","(2,0)","2","0","171.24","(2,0)"
"518","2","0","160.68","(2,0)","2","1","151.3","(2,1)"
"519","2","0","135.88","(2,0)","1","2","127.9","(1,2)"
"520","2","0","152.73","(2,0)","1","2","144.52","(1,2)"
"521","2","0","157.29","(2,0)","1","2","147.86","(1,2)"
"522","2","0","153.42","(2,0)","2","0","145.77","(2,0)"
"523","1","1","135.63","(1,1)","1","1","127.98","(1,1)"
"524","2","0","157.87","(2,0)","2","0","150.22","(2,0)"
"525","1","2","144.49","(1,2)","1","2","134.93","(1,2)"
"526","1","0","161.43","(1,0)","1","1","154.41","(1,1)"
"527","2","0","176.49","(2,0)","2","0","168.84","(2,0)"
"528","2","0","150.53","(2,0)","2","0","142.88","(2,0)"
"529","2","0","161.45","(2,0)","2","2","152.55","(2,2)"
"530","1","2","163.6","(1,2)","1","2","154.04","(1,2)"
"531","1","1","183.36","(1,1)","1","1","175.71","(1,1)"
"532","1","2","162.75","(1,2)","1","2","153.19","(1,2)"
"533","1","1","146.89","(1,1)","1","1","139.24","(1,1)"
"534","2","1","150.07","(2,1)","2","1","140.51","(2,1)"
"535","2","0","148.79","(2,0)","2","0","141.14","(2,0)"
"536","1","2","155.66","(1,2)","1","2","146.1","(1,2)"
"537","2","0","161.45","(2,0)","2","2","153.56","(2,2)"
"538","2","0","152.77","(2,0)","2","0","145.12","(2,0)"
"539","1","2","144.02","(1,2)","1","2","134.46","(1,2)"
"540","2","0","159.57","(2,0)","2","0","151.92","(2,0)"
"541","2","0","154.95","(2,0)","2","1","147.02","(2,1)"
"542","2","2","160.19","(2,2)","2","2","148.72","(2,2)"
"543","2","0","148.01","(2,0)","2","0","140.36","(2,0)"
"544","2","0","145.5","(2,0)","2","0","137.85","(2,0)"
